temperature,humidity,lux,flux
27.12,39.82,96,2.61
27.06,39.79,96,0
27.06,39.76,111,0
27.06,39.71,111,-2.61
27.06,39.64,111,-2.61
27.06,39.59,96,-2.61
27.06,39.52,96,-2.61
27.12,39.48,96,-2.61
27.06,39.42,96,7.82
27.12,39.4,96,2.61
27.06,39.38,96,2.61
27.12,39.37,96,2.61
27.06,39.36,96,2.61
27.06,39.34,96,0
27.12,39.32,96,0
27.12,39.3,96,0
27.12,39.3,96,0
27.12,39.31,96,0
27.06,39.3,96,-2.61
27.12,39.28,111,7.82
27.12,39.23,104,2.61
27.12,39.2,104,7.82
27.12,39.18,104,7.82
27.12,39.16,104,10.43
27.12,39.12,104,7.82
27.12,39.09,104,10.43
27.12,39.06,104,5.21
27.12,39.03,104,0
27.12,38.98,104,7.82
27.12,38.94,104,0
27.12,38.92,104,7.82
27.12,38.9,104,2.61
27.06,38.88,104,10.43
27.12,38.86,104,7.82
27.06,38.84,104,10.43
27.12,38.83,104,10.43
27.12,38.8,104,7.82
27.06,38.78,104,13.04
27.12,38.76,104,13.04
27.06,38.73,104,10.43
27.06,38.69,104,10.43
27.06,38.65,104,10.43
27.06,38.62,88,10.43
27.12,38.61,88,7.82
27.06,38.57,88,7.82
27.06,38.54,88,5.21
27.06,38.52,88,0
27.06,38.63,88,7.82
27.12,38.85,88,20.86
27.12,39.41,104,7.82
27.12,39.91,104,10.43
27.12,40.23,104,7.82
27.12,40.33,104,10.43
27.12,40.25,104,10.43
27.12,40.11,88,7.82
27.12,39.93,104,7.82
27.12,39.73,104,7.82
27.12,39.56,104,5.21
27.12,39.39,104,2.61
27.12,39.27,104,7.82
27.12,39.17,104,2.61
27.12,39.04,104,5.21
27.12,38.91,104,0
27.19,38.79,104,0
27.12,38.7,104,2.61
27.19,38.64,104,2.61
27.19,38.56,104,7.82
27.19,38.48,104,7.82
27.19,38.45,104,13.04
27.19,38.4,104,18.25
27.25,38.38,104,33.9
27.19,38.33,104,23.47
27.19,38.29,104,18.25
27.19,38.26,104,23.47
27.19,38.22,104,26.07
27.19,38.16,104,36.5
27.19,38.14,104,31.29
27.12,38.12,104,33.9
27.12,38.1,104,41.72
27.19,38.09,104,49.54
27.12,38.08,104,49.54
27.19,38.09,104,33.9
27.19,38.1,121,28.68
27.12,38.14,88,39.11
27.19,38.98,88,67.79
27.19,39.51,88,54.76
27.19,39.59,88,57.36
27.12,39.57,88,57.36
27.12,39.51,88,49.54
27.19,39.38,88,41.72
27.12,39.22,88,44.33
27.12,39.04,88,39.11
